event,site,date,round,white,black,white_elo,black_elo,result,result_numeric,eco,total_moves,moves_san,moves_uci,elo_diff
URS-chT,URS,1968.??.??,?,"Kupreichik, Viktor D","Beliavsky, Alexander G",,,1-0,1,C77,85,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 Qe2 b5 Bb3 Na5 d4 Nxb3 axb3 d6 Nc3 b4 Nd5 Nxd5 exd5 f6 Bd2 a5 c4 bxc3 bxc3 Rb8 O-O Be7 dxe5 fxe5 Qc4 Ra8 b4 a4 b5 Bb7 Be3 Bf6 Rfd1 O-O Rxa4 Rxa4 Qxa4 Qe8 c4 Bc8 Nd2 Qg6 Nf1 h5 Kh1 Bg5 Bxg5 Qxg5 Qa2 Bg4 Re1 Qf4 Kg1 h4 Re3 Rf6 Rc3 Rg6 Qd2 Qf5 Qc2 Qg5 Qc1 Qf6 Qe3 Qf5 h3 Bh5 Nd2 Rf6 Ne4 Rf8 Ra3 Bg6 f3 Bh5 Ng5,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d1e2 b7b5 a4b3 c6a5 d2d4 a5b3 a2b3 d7d6 b1c3 b5b4 c3d5 f6d5 e4d5 f7f6 c1d2 a6a5 c2c4 b4c3 b2c3 a8b8 e1g1 f8e7 d4e5 f6e5 e2c4 b8a8 b3b4 a5a4 b4b5 c8b7 d2e3 e7f6 f1d1 e8g8 a1a4 a8a4 c4a4 d8e8 c3c4 b7c8 f3d2 e8g6 d2f1 h7h5 g1h1 f6g5 e3g5 g6g5 a4a2 c8g4 d1e1 g5f4 h1g1 h5h4 e1e3 f8f6 e3c3 f6g6 a2d2 f4f5 d2c2 f5g5 c2c1 g5f6 c1e3 f6f5 h2h3 g4h5 f1d2 g6f6 d2e4 f6f8 c3a3 h5g6 f2f3 g6h5 e4g5,
URS-chT,URS,1968.??.??,?,"Beliavsky, Alexander G",Barenboim,,,1-0,1,D59,85,d4 d5 Nf3 Nf6 c4 e6 Nc3 Be7 Bg5 O-O e3 h6 Bh4 b6 cxd5 Nxd5 Bxe7 Qxe7 Rc1 Bb7 Bd3 c5 Nxd5 exd5 dxc5 bxc5 O-O Nd7 Qa4 Nf6 Qa3 Rfc8 Rc2 Qf8 Rfc1 c4 Qxf8+ Rxf8 Be2 Ba6 Nd4 Rab8 Kf1 Rb6 b3 Ne4 Ke1 Nd6 Bf3 Bb7 Rd1 Rb8 Rc3 Ra6 Rc2 Ra3 bxc4 dxc4 Rb1 c3 Ne2 Rc8 Rxb7 Nxb7 Bxb7 Rc5 e4 Rh5 h3 Rg5 Nf4 Rb5 Bd5 Rb1+ Ke2 g5 Nd3 Kg7 Bb3 a5 Nc5 Rg1 g3 Rh1 Kd3,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 h7h6 g5h4 b7b6 c4d5 f6d5 h4e7 d8e7 a1c1 c8b7 f1d3 c7c5 c3d5 e6d5 d4c5 b6c5 e1g1 b8d7 d1a4 d7f6 a4a3 f8c8 c1c2 e7f8 f1c1 c5c4 a3f8 c8f8 d3e2 b7a6 f3d4 a8b8 g1f1 b8b6 b2b3 f6e4 f1e1 e4d6 e2f3 a6b7 c1d1 f8b8 c2c3 b6a6 c3c2 a6a3 b3c4 d5c4 d1b1 c4c3 d4e2 b8c8 b1b7 d6b7 f3b7 c8c5 e3e4 c5h5 h2h3 h5g5 e2f4 g5b5 b7d5 b5b1 e1e2 g7g5 f4d3 g8g7 d5b3 a7a5 d3c5 b1g1 g2g3 g1h1 e2d3,
URS-chT,URS,1968.??.??,?,"Beliavsky, Alexander G","Gusev, Vladimir A",,,1/2-1/2,0,A57,83,Nf3 Nf6 d4 c5 d5 b5 c4 bxc4 Nc3 d6 Nd2 g6 g3 Bg7 Bg2 O-O O-O Nbd7 Nxc4 Rb8 Re1 Ba6 Qa4 Bxc4 Qxc4 Rb4 Qd3 Qa5 Qc2 Rfb8 Rb1 Ne5 Rd1 Nc4 b3 Na3 Bxa3 Qxa3 Bh3 Ne8 Ne4 c4 Bd7 Nf6 Nxf6+ Bxf6 Ba4 c3 Bd7 Rd4 Rxd4 Bxd4 e3 Bf6 Kg2 Qc5 Rd1 h5 h4 a5 a4 Qb4 Bb5 Qg4 Be2 Qb4 Bc4 Qa3 Rb1 Kg7 Kf1 Qc5 Kg2 Rb4 Rd1 Qc8 Qe4 Be5 Rc1 Rb8 Rd1 Qc5 Qc2,g1f3 g8f6 d2d4 c7c5 d4d5 b7b5 c2c4 b5c4 b1c3 d7d6 f3d2 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 b8d7 d2c4 a8b8 f1e1 c8a6 d1a4 a6c4 a4c4 b8b4 c4d3 d8a5 d3c2 f8b8 a1b1 d7e5 e1d1 e5c4 b2b3 c4a3 c1a3 a5a3 g2h3 f6e8 c3e4 c5c4 h3d7 e8f6 e4f6 g7f6 d7a4 c4c3 a4d7 b4d4 d1d4 f6d4 e2e3 d4f6 g1g2 a3c5 b1d1 h7h5 h2h4 a7a5 a2a4 c5b4 d7b5 b4g4 b5e2 g4b4 e2c4 b4a3 d1b1 g8g7 g2f1 a3c5 f1g2 b8b4 b1d1 c5c8 c2e4 f6e5 d1c1 b4b8 c1d1 c8c5 e4c2,
URS-chT,URS,1968.??.??,?,"Beliavsky, Alexander G",Koolmeister,,,1-0,1,E11,81,d4 Nf6 Nf3 e6 c4 Bb4+ Bd2 Bxd2+ Qxd2 O-O Nc3 d5 e3 Nbd7 Be2 a6 cxd5 exd5 O-O c6 Rab1 Ne8 Rfc1 f5 Bf1 Nd6 Ne2 Nf6 Qc2 Nfe4 Ne5 Qe7 b4 Bd7 a4 g5 f3 Nf6 Nc3 g4 f4 Nfe4 Nxe4 Nxe4 b5 axb5 axb5 Rfc8 bxc6 Bxc6 Bd3 Qa3 Rb3 Qa2 Bxe4 fxe4 Rb2 Qa3 Qe2 h5 Rbc2 Qd6 Qe1 Bd7 Qh4 Rxc2 Qg5+ Kf8 Rxc2 Be8 f5 Qe7 f6 Qh7 f7 Bc6 h3 Ra1+ Kh2 gxh3 Qd8+,d2d4 g8f6 g1f3 e7e6 c2c4 f8b4 c1d2 b4d2 d1d2 e8g8 b1c3 d7d5 e2e3 b8d7 f1e2 a7a6 c4d5 e6d5 e1g1 c7c6 a1b1 f6e8 f1c1 f7f5 e2f1 e8d6 c3e2 d7f6 d2c2 f6e4 f3e5 d8e7 b2b4 c8d7 a2a4 g7g5 f2f3 e4f6 e2c3 g5g4 f3f4 f6e4 c3e4 d6e4 b4b5 a6b5 a4b5 f8c8 b5c6 d7c6 f1d3 e7a3 b1b3 a3a2 d3e4 f5e4 b3b2 a2a3 c2e2 h7h5 b2c2 a3d6 e2e1 c6d7 e1h4 c8c2 h4g5 g8f8 c1c2 d7e8 f4f5 d6e7 f5f6 e7h7 f6f7 e8c6 h2h3 a8a1 g1h2 g4h3 g5d8,
URS-chT,URS,1968.??.??,?,"Beliavsky, Alexander G","Kudischewitsch, David",,,1-0,1,D14,179,d4 Nf6 Nf3 c5 c3 cxd4 cxd4 d5 Nc3 Nc6 Bf4 Bf5 Qb3 Qb6 Qxb6 axb6 e3 Bd7 Ne5 e6 Nxd7 Kxd7 Bb5 Bd6 Bxd6 Kxd6 Ke2 Rhc8 Rhc1 Ne8 b3 Ra5 b4 Raa8 a3 Ke7 Kd2 Nd6 Bd3 Na7 f3 Nc4+ Bxc4 Rxc4 Na4 Rxc1 Rxc1 Nc8 Nb2 Nd6 a4 Kd7 b5 Rc8 Rxc8 Kxc8 Kd3 Kd7 e4 Nc8 Nd1 Kd6 Ne3 Ne7 e5+ Kd7 g3 Ke8 Ng2 Kd7 Nf4 Ke8 Nh3 h6 Nf4 g6 Ng2 Nf5 Nf4 Ne7 Ne2 Kd7 Nc3 Nc8 Nd1 Ne7 Ne3 Ke8 Ng4 Ng8 Ke3 Ke7 Kf4 Ke8 Nf6+ Nxf6 exf6 Kd7 Ke5 Kc7 h4 Kd7 g4 Kc7 f4 Kd7 h5 gxh5 gxh5 Kc7 f5 exf5 Kxd5 Kd7 Ke5 f4 Kxf4 Ke6 Ke4 Kd6 Kd3 Kd7 Kc3 Ke6 Kc4 Kxf6 Kd5 Kf5 Kd6 Ke4 d5 f5 Ke6 f4 d6 f3 d7 f2 d8=Q f1=Q Qxb6 Qc4+ Kf6 Qxa4 Qxb7+ Kf4 Kg6 Kg4 Qd7+ Kh4 Qe7+ Kg4 Qe6+ Kh4 Qf6+ Kg4 Qf5+ Kh4 Kxh6 Qd4 Qg5+ Kh3 Kg6 Qd6+ Qf6 Qg3+ Kh6 Qe3+ Kg7 Qa7+ Kg6 Qg1+ Kf7 Qa7+ Qe7 Qf2+ Ke8 Qb6 Qd7+,d2d4 g8f6 g1f3 c7c5 c2c3 c5d4 c3d4 d7d5 b1c3 b8c6 c1f4 c8f5 d1b3 d8b6 b3b6 a7b6 e2e3 f5d7 f3e5 e7e6 e5d7 e8d7 f1b5 f8d6 f4d6 d7d6 e1e2 h8c8 h1c1 f6e8 b2b3 a8a5 b3b4 a5a8 a2a3 d6e7 e2d2 e8d6 b5d3 c6a7 f2f3 d6c4 d3c4 c8c4 c3a4 c4c1 a1c1 a7c8 a4b2 c8d6 a3a4 e7d7 b4b5 a8c8 c1c8 d7c8 d2d3 c8d7 e3e4 d6c8 b2d1 d7d6 d1e3 c8e7 e4e5 d6d7 g2g3 d7e8 e3g2 e8d7 g2f4 d7e8 f4h3 h7h6 h3f4 g7g6 f4g2 e7f5 g2f4 f5e7 f4e2 e8d7 e2c3 e7c8 c3d1 c8e7 d1e3 d7e8 e3g4 e7g8 d3e3 e8e7 e3f4 e7e8 g4f6 g8f6 e5f6 e8d7 f4e5 d7c7 h2h4 c7d7 g3g4 d7c7 f3f4 c7d7 h4h5 g6h5 g4h5 d7c7 f4f5 e6f5 e5d5 c7d7 d5e5 f5f4 e5f4 d7e6 f4e4 e6d6 e4d3 d6d7 d3c3 d7e6 c3c4 e6f6 c4d5 f6f5 d5d6 f5e4 d4d5 f7f5 d6e6 f5f4 d5d6 f4f3 d6d7 f3f2 d7d8q f2f1q d8b6 f1c4 e6f6 c4a4 b6b7 e4f4 f6g6 f4g4 b7d7 g4h4 d7e7 h4g4 e7e6 g4h4 e6f6 h4g4 f6f5 g4h4 g6h6 a4d4 f5g5 h4h3 h6g6 d4d6 g5f6 d6g3 g6h6 g3e3 h6g7 e3a7 g7g6 a7g1 g6f7 g1a7 f6e7 a7f2 f7e8 f2b6 e7d7,
URS-chT,URS,1968.??.??,?,"Fedorov, B.","Beliavsky, Alexander G",,,1-0,1,B88,61,e4 c5 Nc3 Nc6 Nge2 Nf6 d4 cxd4 Nxd4 d6 Bc4 e6 Be3 Be7 Bb3 O-O O-O Na5 f4 b6 e5 Ne8 f5 exf5 e6 Nc7 exf7+ Kh8 Nxf5 Nxb3 axb3 Rxf7 Nxe7 Rxf1+ Qxf1 Qxe7 Qf3 Bg4 Qg3 Bf5 Bf4 Qd7 Bxd6 Ne8 Be5 Rc8 Rf1 Be6 h4 Bg8 h5 Rc6 Rf8 Nf6 h6 Qe7 hxg7+ Qxg7 Qxg7+ Kxg7 Rxf6,e2e4 c7c5 b1c3 b8c6 g1e2 g8f6 d2d4 c5d4 e2d4 d7d6 f1c4 e7e6 c1e3 f8e7 c4b3 e8g8 e1g1 c6a5 f2f4 b7b6 e4e5 f6e8 f4f5 e6f5 e5e6 e8c7 e6f7 g8h8 d4f5 a5b3 a2b3 f8f7 f5e7 f7f1 d1f1 d8e7 f1f3 c8g4 f3g3 g4f5 e3f4 e7d7 f4d6 c7e8 d6e5 a8c8 a1f1 f5e6 h2h4 e6g8 h4h5 c8c6 f1f8 e8f6 h5h6 d7e7 h6g7 e7g7 g3g7 h8g7 f8f6,
URS-chT,URS,1968.??.??,?,"Beliavsky, Alexander G",Akimov,,,1-0,1,D02,95,Nf3 Nf6 d4 d5 Bf4 Bf5 e3 e6 Bd3 Bxd3 Qxd3 Bd6 Qb5+ Nbd7 Bxd6 cxd6 Qxb7 Rb8 Qxa7 Rxb2 O-O O-O a4 Qa8 Qxa8 Rxa8 Nc3 Rxc2 Nb5 Ne4 Ne1 Rb2 Nd3 Rb3 Rfd1 Nb6 f3 Rxa4 Rxa4 Nxa4 fxe4 Rxb5 exd5 exd5 Rc1 Kf8 Nf4 Nb6 Rc6 Ke8 Rxd6 g5 Nh5 Ke7 Rc6 Nc4 Rc7+ Ke6 Ng7+ Kf6 Ne8+ Ke6 e4 Nd2 e5 Rb1+ Kf2 Ne4+ Kf3 Kf5 Rxf7+ Kg6 Rg7+ Kh6 Rd7 Rb3+ Kg4 Kg6 Rg7+ Kh6 Rc7 Kg6 Rc6+ Kf7 Nd6+ Ke7 Nxe4 dxe4 Kf5 Rb2 Kxe4 Rxg2 Rc7+ Kd8 Rxh7,g1f3 g8f6 d2d4 d7d5 c1f4 c8f5 e2e3 e7e6 f1d3 f5d3 d1d3 f8d6 d3b5 b8d7 f4d6 c7d6 b5b7 a8b8 b7a7 b8b2 e1g1 e8g8 a2a4 d8a8 a7a8 f8a8 b1c3 b2c2 c3b5 f6e4 f3e1 c2b2 e1d3 b2b3 f1d1 d7b6 f2f3 a8a4 a1a4 b6a4 f3e4 b3b5 e4d5 e6d5 d1c1 g8f8 d3f4 a4b6 c1c6 f8e8 c6d6 g7g5 f4h5 e8e7 d6c6 b6c4 c6c7 e7e6 h5g7 e6f6 g7e8 f6e6 e3e4 c4d2 e4e5 b5b1 g1f2 d2e4 f2f3 e6f5 c7f7 f5g6 f7g7 g6h6 g7d7 b1b3 f3g4 h6g6 d7g7 g6h6 g7c7 h6g6 c7c6 g6f7 e8d6 f7e7 d6e4 d5e4 g4f5 b3b2 f5e4 b2g2 c6c7 e7d8 c7h7,
URS-chT,URS,1968.??.??,?,"Lipman, V.","Beliavsky, Alexander G",,,0-1,-1,C44,86,e4 e5 Nf3 Nc6 d4 exd4 c3 Qe7 Bd3 d6 cxd4 Bg4 Be3 Nf6 Nc3 g6 Bg5 Bg7 Nd5 Qd8 h3 Bc8 Qa4 O-O O-O-O Be6 Ne3 Bd7 Qa3 h6 Bh4 Qc8 Qb3 Nh5 Bb1 a5 Rhe1 a4 Qc3 Kh7 g4 Nf4 Bg3 Ne6 e5 dxe5 Nxe5 Nexd4 Rxd4 Nxe5 Nd5 Nc6 Ne7 Bxd4 Qd3 Nxe7 Rxe7 Bg7 Be5 Bf5 gxf5 Qxf5 Qxf5 gxf5 Bxf5+ Kh8 Bxg7+ Kxg7 Rxc7 Kf6 Bg4 Rab8 Kc2 b5 b3 Rfe8 Rc6+ Kg7 bxa4 bxa4 Ra6 Ra8 Rxa8 Rxa8 a3 Rb8,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 c2c3 d8e7 f1d3 d7d6 c3d4 c8g4 c1e3 g8f6 b1c3 g7g6 e3g5 f8g7 c3d5 e7d8 h2h3 g4c8 d1a4 e8g8 e1c1 c8e6 d5e3 e6d7 a4a3 h7h6 g5h4 d8c8 a3b3 f6h5 d3b1 a7a5 h1e1 a5a4 b3c3 g8h7 g2g4 h5f4 h4g3 f4e6 e4e5 d6e5 f3e5 e6d4 d1d4 c6e5 e3d5 e5c6 d5e7 g7d4 c3d3 c6e7 e1e7 d4g7 g3e5 d7f5 g4f5 c8f5 d3f5 g6f5 b1f5 h7h8 e5g7 h8g7 e7c7 g7f6 f5g4 a8b8 c1c2 b7b5 b2b3 f8e8 c7c6 f6g7 b3a4 b5a4 c6a6 b8a8 a6a8 e8a8 a2a3 a8b8,
URS-chT,URS,1968.??.??,?,"Zolotonos, Leonid","Beliavsky, Alexander G",,,0-1,-1,B09,79,e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 O-O e5 Ne8 Be3 c6 Bd3 Nc7 Qd2 Nd7 h4 c5 exd6 exd6 O-O-O b5 h5 c4 Be4 b4 Nd5 Bb7 Nxc7 Bxe4 Nxa8 Qa5 Kb1 c3 Qc1 b3 axb3 Nc5 bxc3 Nxb3 Qb2 Rb8 Ng5 Bd5 cxb3 Rxb3 Qxb3 Bxb3 Rd2 Qxc3 Re1 Bc2+ Rxc2 Qxe1+ Bc1 Bxd4 Rc8+ Kg7 Rc7 h6 Nxf7 Qe4+ Ka2 Qxa8 Nxd6+ Kf6 Nc4 Qxg2+ Kb3 Qf3+ Ka2 gxh5 f5 Qe2+ Bb2 Qc2 Rc6+,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8 e4e5 f6e8 c1e3 c7c6 f1d3 e8c7 d1d2 b8d7 h2h4 c6c5 e5d6 e7d6 e1c1 b7b5 h4h5 c5c4 d3e4 b5b4 c3d5 c8b7 d5c7 b7e4 c7a8 d8a5 c1b1 c4c3 d2c1 b4b3 a2b3 d7c5 b2c3 c5b3 c1b2 f8b8 f3g5 e4d5 c2b3 b8b3 b2b3 d5b3 d1d2 a5c3 h1e1 b3c2 d2c2 c3e1 e3c1 g7d4 c2c8 g8g7 c8c7 h7h6 g5f7 e1e4 b1a2 e4a8 f7d6 g7f6 d6c4 a8g2 a2b3 g2f3 b3a2 g6h5 f4f5 f3e2 c1b2 e2c2 c7c6,
URS-chT,URS,1968.??.??,?,"Vorobiev, M.","Beliavsky, Alexander G",,,0-1,-1,C68,106,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 O-O Bg4 h3 h5 d4 Bxf3 Qxf3 exd4 Rd1 Qf6 Qb3 O-O-O Nd2 Bc5 Nf3 Qe7 Qc4 Bb6 Ng5 Nh6 Qd3 f6 Nf3 Nf7 Bf4 g5 Bg3 Ne5 Nxe5 fxe5 a4 Rdf8 b4 h4 Bh2 Rhg8 f3 Re8 Rab1 Rg6 Kh1 Qf7 Bg1 c5 a5 c4 Qa3 Ba7 b5 c3 bxa6 Rxa6 Qb4 c5 Qb5 Qd7 Qxd7+ Kxd7 Rxb7+ Kc6 Rg7 Rxa5 Rxg5 Ra2 Rc1 c4 Rg6+ Kb5 Rd6 Bc5 Rd5 Kc6 f4 Ba3 Rf1 Rxc2 fxe5 d3 Rf6+ Kc7 Bc5 Ra2 Rf7+ Kc8 Bg1 c2 Ra5 Be7 Rxa2 c1=Q e6 Kc7 Rf5 Rb8 Rf7 Rb1 Ra7+ Kb8,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5c6 d7c6 e1g1 c8g4 h2h3 h7h5 d2d4 g4f3 d1f3 e5d4 f1d1 d8f6 f3b3 e8c8 b1d2 f8c5 d2f3 f6e7 b3c4 c5b6 f3g5 g8h6 c4d3 f7f6 g5f3 h6f7 c1f4 g7g5 f4g3 f7e5 f3e5 f6e5 a2a4 d8f8 b2b4 h5h4 g3h2 h8g8 f2f3 f8e8 a1b1 g8g6 g1h1 e7f7 h2g1 c6c5 a4a5 c5c4 d3a3 b6a7 b4b5 c4c3 b5a6 g6a6 a3b4 c7c5 b4b5 f7d7 b5d7 c8d7 b1b7 d7c6 b7g7 a6a5 g7g5 a5a2 d1c1 c5c4 g5g6 c6b5 g6d6 a7c5 d6d5 b5c6 f3f4 c5a3 c1f1 a2c2 f4e5 d4d3 f1f6 c6c7 g1c5 c2a2 f6f7 c7c8 c5g1 c3c2 d5a5 a3e7 a5a2 c2c1q e5e6 c8c7 f7f5 e8b8 f5f7 b8b1 a2a7 c7b8,
